fecha,consumo_total,generacion_total,precio_kwh,precio_excedente
2021-06-01 00:00:00,4.62,0.0,0.11633,0.08932999999999999
2021-06-01 01:00:00,3.659912434882852,0.0,0.11595,0.08794
2021-06-01 02:00:00,3.4465539299271715,0.0,0.11489,0.08653
2021-06-01 03:00:00,3.34890944098004,0.0,0.11495999999999999,0.08657
2021-06-01 04:00:00,2.955885392269313,0.0,0.11484,0.08653
2021-06-01 05:00:00,2.87532671215089,0.0,0.11603,0.08782999999999999
2021-06-01 06:00:00,3.1816056923355385,1.4525194089294224,0.11629,0.08932999999999999
2021-06-01 07:00:00,3.707080106447078,4.547220696640008,0.1157,0.09093000000000001
2021-06-01 08:00:00,4.489440579492106,9.575249563264919,0.15289,0.09218000000000001
2021-06-01 09:00:00,4.810765790133548,10.173554131419525,0.15083000000000002,0.09173999999999999
2021-06-01 10:00:00,5.490437856994215,7.016082127450738,0.24262,0.09035
2021-06-01 11:00:00,5.795102504093047,10.563494973298143,0.2405,0.08806
2021-06-01 12:00:00,5.910904764240738,4.523984095626817,0.23809,0.0858
2021-06-01 13:00:00,6.625958695481416,10.445998118354593,0.2353,0.08315
2021-06-01 14:00:00,6.508049206150942,9.160840423389372,0.13796,0.07908
2021-06-01 15:00:00,5.65416090154269,19.39123870872355,0.13288,0.07435
2021-06-01 16:00:00,5.5145797415303,10.681411976371486,0.13193000000000002,0.07393000000000001
2021-06-01 17:00:00,5.311168672756112,9.885742987900366,0.13599,0.07784
2021-06-01 18:00:00,5.675057162817941,3.8335664958288795,0.23144,0.07956
2021-06-01 19:00:00,5.713809136632692,0.46059714632218973,0.2404,0.08653
2021-06-01 20:00:00,6.012495478877032,0.0,0.2462,0.09023
2021-06-01 21:00:00,6.507944473115085,0.0,0.24808000000000002,0.09239
2021-06-01 22:00:00,7.078614623773577,0.0,0.15591,0.09223
2021-06-01 23:00:00,5.843656105184301,0.0,0.1565,0.09137
2021-06-02 00:00:00,4.613613009436808,0.0,0.1162,0.08947
2021-06-02 01:00:00,3.8012810719655175,0.0,0.11437,0.08677
2021-06-02 02:00:00,3.507532968746183,0.0,0.11253,0.08475
2021-06-02 03:00:00,3.3264853520458963,0.0,0.11287,0.08468
2021-06-02 04:00:00,3.240886002415277,0.0,0.11184999999999999,0.08383
2021-06-02 05:00:00,3.2542065556691115,0.0,0.11197,0.08478
2021-06-02 06:00:00,3.6689329648576887,1.2279417334389493,0.11576,0.08842
2021-06-02 07:00:00,3.9744562056138206,3.2576502579105346,0.11564,0.09099
2021-06-02 08:00:00,4.550779716683482,6.521100848534237,0.15296,0.09261
2021-06-02 09:00:00,4.853178556497684,11.719290300781575,0.14853,0.09002
2021-06-02 10:00:00,5.451510658576268,3.458769356362645,0.23996,0.08853
2021-06-02 11:00:00,5.859696485495449,4.903860963225754,0.23668,0.08516
2021-06-02 12:00:00,5.953045340663696,5.414764195521146,0.23564,0.08405
2021-06-02 13:00:00,6.087513760045066,11.088603890126814,0.23505,0.08341
2021-06-02 14:00:00,5.894510876437389,3.73188955242892,0.13851,0.08004
2021-06-02 15:00:00,5.744926144124924,11.79552870414601,0.13615,0.07784
2021-06-02 16:00:00,5.7007150545765235,7.015411154003426,0.13227,0.07438
2021-06-02 17:00:00,5.79088852547984,0.9709722176353106,0.13619,0.07834999999999999
2021-06-02 18:00:00,5.569627942245102,1.8267189766182803,0.2312,0.07901000000000001
2021-06-02 19:00:00,5.702840100525077,0.5008089446990734,0.23677,0.08336
2021-06-02 20:00:00,6.085489649413241,0.0,0.23927,0.0842
2021-06-02 21:00:00,6.810342282927575,0.0,0.245,0.08901
2021-06-02 22:00:00,7.128411306032541,0.0,0.15092,0.08675
2021-06-02 23:00:00,6.013454975924083,0.0,0.14831,0.08308
2021-06-03 00:00:00,4.829529809037515,0.0,0.10958,0.08353000000000001
2021-06-03 01:00:00,3.9306221400535875,0.0,0.10608,0.07969
2021-06-03 02:00:00,3.4989064113511232,0.0,0.10296,0.07634
2021-06-03 03:00:00,3.330586748329633,0.0,0.10445,0.07706
2021-06-03 04:00:00,3.0142388845154584,0.0,0.10462,0.07725
2021-06-03 05:00:00,3.038516607667434,0.0,0.10753,0.08041
